lat,long,state,name,county
37.9105389,-87.9230583,Indiana,A.B. Brown Generating Station,Posey
21.303111,-158.10805,Hawaii,AES Hawaii Generation Plant,Honolulu
17.9455578,-66.1494397,Puerto Rico,AES Puerto Rico power station,Guayama
39.595591,-78.745402,Maryland,AES Warrior Run Generation Plant,Allegany
45.032414,-92.778776,Minnesota,Allen S. King Generating Plant,Washington
38.4737167,-81.8249194,West Virginia,Amos Plant,Putnam
47.3705583,-101.8357722,North Dakota,Antelope Valley Station,Mercer
32.061875,-109.8946861,Arizona,Apache Generating Station,Cochise
41.9247333,-91.6863972,Iowa,Archer Daniels Midland Cedar Rapids Power Plant,Linn
41.8209389,-90.2094944,Iowa,Archer Daniels Midland Clinton Power Plant,Clinton
39.8700083,-88.8909639,Illinois,Archer Daniels Midland Decatur Power Plant,Macon
38.2045306,-89.8559778,Illinois,Baldwin Energy Station,Randolph
31.0065528,-88.0087528,Alabama,Barry Steam Plant,Mobile
36.2825,-80.0585472,North Carolina,Belews Creek Steam Station,Stokes
42.7752917,-82.4943111,Michigan,Belle River Power Plant,St Clair
27.7943444,-82.4032056,Florida,Big Bend Station,Hillsborough
30.7280972,-91.369775,Louisiana,Big Cajun II Power Plant,Pointe Coupee
45.3046111,-96.5110333,South Dakota,Big Stone Power Plant,Grant
40.0864333,-109.2853528,Utah,Bonanza Power Plant,Uintah
47.2620889,-93.6529972,Minnesota,Boswell Energy Center,Itasca
31.3975528,-92.7189806,Louisiana,Brame Energy power station,Rapides
39.179833,-76.53633,Maryland,Brandon Shores Generating Station,Anne Arundel
40.0954611,-76.6963056,Pennsylvania,Brunner Island power station,York
36.0210694,-84.1564778,Tennessee,Bull Run Fossil Plant,Anderson
42.910296,-86.20074,Michigan,Campbell Generating Plant,Ottawa
40.2530028,-80.6468028,Ohio,Cardinal Plant,Jefferson
39.9233083,-87.4273806,Indiana,Cayuga Generating Station,Vermillion
46.755925,-122.8572167,Washington,Centralia Power Plant,Lewis
37.3832,-77.3820889,Virginia,Chesterfield power station,Chesterfield
34.9409139,-110.3004,Arizona,Cholla Generating Station,Navajo
38.7384306,-85.4190639,Indiana,Clifty Creek Station,Jefferson
36.8695333,-78.7044139,Virginia,Clover power station,Halifax
47.3785111,-101.1570333,North Dakota,Coal Creek Station,McLean
28.7128361,-97.2143778,Texas,Coleto Creek power station,Goliad
45.8823861,-106.6128472,Montana,Colstrip Steam Plant,Rosebud
43.486,-89.4207944,Wisconsin,Columbia Energy Center,Columbia
40.5504583,-78.7989278,Pennsylvania,Colver Power Project,Cambria
38.2075611,-104.5762722,Colorado,Comanche Generating Station,Pueblo
40.3832333,-79.0611444,Pennsylvania,Conemaugh Generating Station,Indiana
36.9977278,-84.592175,Kentucky,Cooper power station,Pulaski
33.3647694,-81.0320917,South Carolina,Cope Station,Orangeburg
34.5778472,-109.2725111,Arizona,Coronado Generating Station,Apache
47.2212361,-101.8148833,North Dakota,Coyote Station,Mercer
40.4627,-107.5911528,Colorado,Craig Station,Moffat
33.3699722,-80.11275,South Carolina,Cross Generating Station,Berkeley
28.9570306,-82.7005833,Florida,Crystal River Energy Complex,Citrus
36.3899472,-87.6516361,Tennessee,Cumberland Steam Plant,Stewart
39.7544722,-89.6031278,Illinois,Dallman Station,Sangamon
30.53265,-88.5571111,Mississippi,Daniel Generating Plant,Jackson
42.8390722,-105.7773972,Wyoming,Dave Johnston Power Plant,Converse
29.7591472,-82.3880528,Florida,Deerhaven Generating Station,Alachua
44.3874422,-105.4613267,Wyoming,Dry Fork Station,Campbell
37.7883306,-84.7135306,Kentucky,E.W. Brown Generating Station,Mercer
38.9041694,-84.8513361,Kentucky,East Bend Generating Station,Boone
43.7161611,-87.7058944,Wisconsin,Edgewater Generating Station,Sheboygan
40.59605,-89.6619528,Illinois,Edwards Generation Plant,Peoria
42.6922472,-84.6567694,Michigan,Erickson Station,Eaton
37.9089611,-87.3247167,Indiana,F.B. Culley Generating Station,Warrick
29.9164556,-96.7508417,Texas,Fayette Power Project,Fayette
36.2560833,-94.5239083,Arkansas,Flint Creek Power Plant,Benton
39.7103639,-79.9271639,West Virginia,Fort Martin power station,Monongalia
36.6893694,-108.4803389,New Mexico,Four Corners Steam Plant,San Juan
35.190278,-81.008333,North Carolina,G.G. Allen Steam Plant,Gaston
36.3153722,-86.4007833,Tennessee,Gallatin Fossil Plant,Sumner
33.2431639,-86.4589361,Alabama,Gaston Steam Plant,Shelby
38.9353694,-82.1153778,Ohio,Gavin Power Plant,Gallia
42.3258333,-96.3813611,Iowa,George Neal Station North,Woodbury
42.2996528,-96.3625972,Iowa,George Neal Station South,Woodbury
41.0809806,-101.14075,Nebraska,Gerald Gentleman Station,Lincoln
38.7486167,-85.0374,Kentucky,Ghent Generating Station,Carroll
38.3713806,-87.7681889,Indiana,Gibson Generating Station,Gibson
36.1887028,-95.2890333,Oklahoma,Grand River Energy Center,Mayes
37.6466778,-87.5014028,Kentucky,Green Station,Henderson
45.7643417,-107.5982917,Montana,Hardin Generating Station,Big Horn
35.2992889,-101.7473611,Texas,Harrington Station,Potter
39.3854278,-80.3333972,West Virginia,Harrison power station,Harrison
39.1306833,-94.4778,Missouri,Hawthorn Station,Jackson
40.4871222,-107.1856694,Colorado,Hayden Station,Routt
