"measure_id","measure_name","location_id","location_name","FIPS","cause_id","cause_name","sex_id","sex","age_id","age_name","year_id","metric","mx","lower","upper"
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1980,"Rate",65.004304935574,61.829380619907,68.2934445343134
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1981,"Rate",64.365309689901,61.6509525470429,67.5533715790163
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1982,"Rate",64.0053537879031,61.1023676087799,66.6994648080237
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1983,"Rate",66.4418269841542,63.5327759946897,69.4667192239338
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1984,"Rate",65.1467307400871,62.2769642811638,67.8177634060005
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1985,"Rate",68.2906432553041,65.4271739540576,71.1930128781285
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1986,"Rate",69.2347829492519,66.277604834727,72.2481566387322
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1987,"Rate",67.1016155975482,64.3091283550001,70.0722143621618
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1988,"Rate",68.0411487666947,65.437100517077,70.8896011248607
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1989,"Rate",66.0891956156832,63.3589158862455,68.6787767877813
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1990,"Rate",64.4252624993875,61.8470548672419,67.0806175008957
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1991,"Rate",64.7638368242086,62.2013694058691,67.3832326897337
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1992,"Rate",63.8407607273603,61.3855889874409,66.4063882900629
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1993,"Rate",64.8134569761898,62.3353726769154,67.4529012221948
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1994,"Rate",66.6145836380653,64.1060565825376,69.3983869331191
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1995,"Rate",65.7206296057057,63.1165926318272,68.4499768919348
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1996,"Rate",66.1639243958997,63.5520172238783,68.9595997622768
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1997,"Rate",64.3908968474519,61.9344459258268,67.0127097202845
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1998,"Rate",66.1023155822598,63.5205575327199,68.7244572606273
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",1999,"Rate",66.9792066547629,64.3792995255443,69.3258925064161
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2000,"Rate",66.4215909738827,63.885017421716,69.1744706671
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2001,"Rate",65.4991498550988,62.9770357267051,67.9263596283219
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2002,"Rate",64.2920557596627,61.8982316372665,66.699654384676
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2003,"Rate",64.1075538126971,61.4899614228307,66.5983168516261
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2004,"Rate",63.8811589503378,61.3932450027491,66.4492414016182
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2005,"Rate",64.6694774832166,62.2119035760671,67.1292124818185
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2006,"Rate",61.6569311835696,59.2247358640393,63.9503822089653
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2007,"Rate",60.2951117866286,57.9573268859839,62.7495459885295
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2008,"Rate",62.3465022588293,59.9314367883077,64.6384962623073
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2009,"Rate",59.7135298294564,57.3119027647023,62.0058718157846
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2010,"Rate",59.2094352454969,56.8276176325826,61.496747108072
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2011,"Rate",59.5649323147304,57.2070849777482,61.7370262391721
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2012,"Rate",56.6069178110124,54.3977448829698,58.9309378442374
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2013,"Rate",57.7596786620344,55.3303221920419,60.3322653002375
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",1,"Male",27,"Age-standardized",2014,"Rate",58.5101310762468,55.9583116455049,61.0313401149274
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",2,"Female",27,"Age-standardized",1980,"Rate",25.0116273215748,23.5973465200106,26.3494955018617
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",2,"Female",27,"Age-standardized",1981,"Rate",24.7759688731221,23.4237320920908,26.144003349995
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",2,"Female",27,"Age-standardized",1982,"Rate",25.8265199655358,24.5188111027021,27.1729206642565
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",2,"Female",27,"Age-standardized",1983,"Rate",25.5250715249629,24.2204889398174,26.8768794987649
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",2,"Female",27,"Age-standardized",1984,"Rate",26.8271630896492,25.5482004533275,28.2716417049636
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",2,"Female",27,"Age-standardized",1985,"Rate",27.8057085847132,26.4895300437302,29.1428785217263
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",2,"Female",27,"Age-standardized",1986,"Rate",29.1715559133886,27.7426218529884,30.6079511225844
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",2,"Female",27,"Age-standardized",1987,"Rate",29.8824067681418,28.6034120330122,31.2513643556371
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",2,"Female",27,"Age-standardized",1988,"Rate",30.7248123122541,29.3123838757567,32.2122068766524
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",2,"Female",27,"Age-standardized",1989,"Rate",32.5789275676614,31.1518034603481,34.0449177148088
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",2,"Female",27,"Age-standardized",1990,"Rate",32.6508916434217,31.2646866071444,34.1282469898039
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",2,"Female",27,"Age-standardized",1991,"Rate",33.5267704606873,32.118728970144,35.0546990245835
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",2,"Female",27,"Age-standardized",1992,"Rate",34.9621780058359,33.5724775054262,36.529476838259
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",2,"Female",27,"Age-standardized",1993,"Rate",37.3337729016658,35.7625330426192,39.0056789626743
1,"Deaths",530,"Delaware",10,508,"Chronic respiratory diseases",2,"Female",27,"Age-standardized",1994,"Rate",37.9055734266689,36.3129065228178,39.5945794434228
