county,state,lat,long,distance_to_nearest_plant,name_of_nearest_plant
El Paso,Colorado,38.8321,-104.5254,27163.536498490994,Ray Nixon Power Plant
Norfolk,Massachusetts,42.1605,-71.2115,109754.90924845643,Schiller Station
Lake,Illinois,42.3233,-88.0037,59787.49678111407,South Oak Creek Plant
Hudson,New Jersey,40.7371,-74.0779,118466.82770554641,Northampton Generating Plant
Jackson,Missouri,39.0085,-94.3461,17717.11289584967,Hawthorn Station
Polk,Florida,27.9489,-81.6976,71566.34083272111,Big Bend Station
Davidson,Tennessee,36.1695,-86.7847,38116.614670625226,Gallatin Fossil Plant
Denver,Colorado,39.762,-104.8758,114136.69677602043,Pawnee Station
Will,Illinois,41.445,-87.9786,83874.25072181685,Schahfer Generating Station
District of Columbia,District of Columbia,38.9047,-77.0163,51571.46463170681,Brandon Shores Generating Station
Bernalillo,New Mexico,35.0514,-106.6702,242718.4638830324,Springerville Generating Station
Jefferson,Alabama,33.5543,-86.8964,17508.44555288642,Miller Steam Plant
Tulsa,Oklahoma,36.1211,-95.9415,40245.609160162436,Northeastern Station
Providence,Rhode Island,41.8721,-71.58,141266.70248279587,Merrimack Station
Kent,Michigan,43.0322,-85.5493,54842.02735029843,Campbell Generating Plant
Arapahoe,Colorado,39.6498,-104.3393,84804.45201601552,Pawnee Station
Utah,Utah,40.1199,-111.6703,96624.58316738065,Huntington Power Plant
Bucks,Pennsylvania,40.337,-75.1069,50465.060217725426,Northampton Generating Plant
Monmouth,New Jersey,40.2603,-74.2213,116902.18723046835,Northampton Generating Plant
Ocean,New Jersey,39.8855,-74.2813,135594.3756799263,Northampton Generating Plant
Montgomery,Texas,30.3002,-95.503,92128.96413273846,Parish Generating Station
Johnson,Kansas,38.8838,-94.8223,33681.12031064682,Nearman Creek power station
Brevard,Florida,28.2937,-80.7323,47536.61779555447,Stanton Energy Center
Washington,Oregon,45.56,-123.0984,134231.19189849411,Centralia Power Plant
Baltimore,Maryland,39.3051,-76.6144,15454.241747667109,Brandon Shores Generating Station
Williamson,Texas,30.6475,-97.6004,99588.03867182159,Major Oak power station
Anne Arundel,Maryland,39.0065,-76.6051,20141.68571160277,Brandon Shores Generating Station
Jefferson,Colorado,39.5864,-105.2505,115739.35801902595,Ray Nixon Power Plant
Douglas,Nebraska,41.2953,-96.1543,17813.797387942428,North Omaha Station
Bristol,Massachusetts,41.7972,-71.1144,146893.48049531472,Schiller Station
Delaware,Pennsylvania,39.9167,-75.3991,86354.50117959955,Northampton Generating Plant
Union,New Jersey,40.6601,-74.3087,98979.7972995405,Northampton Generating Plant
New Castle,Delaware,39.5768,-75.6527,87357.92448577312,Herbert Wagner Generating Station
Dane,Wisconsin,43.0673,-89.4181,46517.30058368256,Columbia Energy Center
Pasco,Florida,28.3091,-82.3932,57053.84538593117,Big Bend Station
Stanislaus,California,37.5591,-120.9977,496224.3908118975,North Valmy Station
Lancaster,Pennsylvania,40.0424,-76.2477,38720.434271765895,Brunner Island power station
Ramsey,Minnesota,45.0171,-93.0996,25342.254477891627,Allen S. King Generating Plant
Volusia,Florida,29.0584,-81.1819,63808.84705130706,Stanton Energy Center
Summit,Ohio,41.126,-81.5322,100785.8091385208,Sammis Plant
Guilford,North Carolina,36.0795,-79.7889,33102.53325423043,Belews Creek Steam Station
Montgomery,Ohio,39.7547,-84.2907,52063.30193108864,Whitewater Valley Generating Station
Chester,Pennsylvania,39.9731,-75.7484,82037.25439672238,Brunner Island power station
Spokane,Washington,47.6207,-117.404,424226.34332391206,Centralia Power Plant
Plymouth,Massachusetts,41.9512,-70.8114,127274.45161098702,Schiller Station
Camden,New Jersey,39.8035,-74.9597,108088.5108822458,Northampton Generating Plant
Passaic,New Jersey,41.0343,-74.3008,106331.96248628963,Northampton Generating Plant
Sedgwick,Kansas,37.6848,-97.461,141292.2627153659,Sooner Generating Station
Greenville,South Carolina,34.8941,-82.3706,66005.02719652234,James E. Rogers Energy Complex
Kane,Illinois,41.9388,-88.4286,112179.1437052218,South Oak Creek Plant
Adams,Colorado,39.8736,-104.3379,68103.02782037531,Pawnee Station
Morris,New Jersey,40.862,-74.5445,81089.82293088827,Northampton Generating Plant
Clark,Washington,45.7792,-122.4825,112346.13732656506,Centralia Power Plant
Lake,Indiana,41.4167,-87.3821,37364.71276616623,Schahfer Generating Station
Richmond,New York,40.5808,-74.1524,112874.35280214131,Northampton Generating Plant
Sonoma,California,38.5289,-122.8881,556798.6063712923,North Valmy Station
Polk,Iowa,41.6854,-93.5734,107308.41485570636,Ottumwa Generating Station
Ada,Idaho,43.4511,-116.2412,295153.41908690607,North Valmy Station
Washoe,Nevada,40.6655,-119.6643,213418.96310554026,North Valmy Station
Prince William,Virginia,38.7029,-77.4809,97516.55786188666,Brandon Shores Generating Station
Knox,Tennessee,35.9932,-83.9371,20018.41515584494,Bull Run Fossil Plant
Onondaga,New York,43.0058,-76.1946,218570.3832891152,Montour Steam Station
Tulare,California,36.2202,-118.8005,537008.5148983874,North Valmy Station
Seminole,Florida,28.717,-81.2363,26809.55233389266,Stanton Energy Center
Hampden,Massachusetts,42.1351,-72.6316,146980.03331155138,Merrimack Station
Burlington,New Jersey,39.8777,-74.6681,113695.93859816785,Northampton Generating Plant
Virginia Beach,Virginia,36.7335,-76.0435,139187.67226549497,Chesterfield power station
East Baton Rouge,Louisiana,30.5383,-91.0956,33669.31367257404,Big Cajun II Power Plant
York,Pennsylvania,39.92,-76.7265,19652.12808657448,Brunner Island power station
Solano,California,38.27,-121.9329,502663.8631276858,North Valmy Station
Santa Barbara,California,34.6729,-120.0169,733767.7946355391,North Valmy Station
Jefferson,Louisiana,29.7872,-90.1274,158661.9431171865,Big Cajun II Power Plant
Monterey,California,36.2171,-121.2388,628333.8125012516,North Valmy Station
Dakota,Minnesota,44.6719,-93.0654,46026.49090901046,Allen S. King Generating Plant
Lucas,Ohio,41.6197,-83.6588,39813.36843581387,Monroe Power Plant
Sarasota,Florida,27.1845,-82.3315,67948.12824611145,Big Bend Station
Berks,Pennsylvania,40.4163,-75.926,48710.41904046859,Northampton Generating Plant
Pinal,Arizona,32.9044,-111.3448,165247.92173398743,Apache Generating Station
Cameron,Texas,26.1333,-97.5182,287413.14849356224,Coleto Creek power station
Hillsborough,New Hampshire,42.9153,-71.7161,32244.710507084365,Merrimack Station
Clackamas,Oregon,45.188,-122.2209,181117.56170551642,Centralia Power Plant
Richland,South Carolina,34.0218,-80.9031,33861.607066916615,Wateree Station
Mobile,Alabama,30.7872,-88.2058,30762.477779993744,Barry Steam Plant
Loudoun,Virginia,39.0907,-77.6357,95565.95366075399,Brandon Shores Generating Station
Genesee,Michigan,43.0217,-83.7067,69731.30072608752,Karn Generating Plant
Waukesha,Wisconsin,43.0182,-88.3045,43204.47812108375,South Oak Creek Plant
Charleston,South Carolina,32.8346,-79.9531,20167.307451401844,Williams Station
St. Charles,Missouri,38.782,-90.6749,28244.531180595095,Labadie power station
Placer,California,39.0634,-120.7177,365375.76540829294,North Valmy Station
Orange,New York,41.4022,-74.3056,126283.5759209561,Northampton Generating Plant
Pulaski,Arkansas,34.77,-92.312,41579.15136354187,White Bluff Generating Plant
Manatee,Florida,27.4719,-82.3153,36769.3673708805,Big Bend Station
Butler,Ohio,39.4386,-84.5756,41118.09546907892,Miami Fort Station
Mercer,New Jersey,40.2834,-74.7018,79980.92998111794,Northampton Generating Plant
Orleans,Louisiana,30.0687,-89.9288,141616.57093859583,Daniel Generating Plant
Madison,Alabama,34.7631,-86.5502,133849.85756788123,Miller Steam Plant
Allen,Indiana,41.0909,-85.0666,143837.31292542422,Whitewater Valley Generating Station
Forsyth,North Carolina,36.1306,-80.2563,24502.08692533202,Belews Creek Steam Station
Lane,Oregon,43.9386,-122.848,313114.28450704593,Centralia Power Plant
Osceola,Florida,28.0627,-81.1494,46592.74386434398,Stanton Energy Center
Lake,Florida,28.7615,-81.7113,61485.33131089304,Stanton Energy Center
Stark,Ohio,40.8139,-81.3656,69614.50934420573,Sammis Plant
Collier,Florida,26.1108,-81.3475,213974.61353174623,Big Bend Station
Lehigh,Pennsylvania,40.6127,-75.5923,13033.508265178472,Northampton Generating Plant
Washtenaw,Michigan,42.2532,-83.8388,57394.68753952242,Monroe Power Plant
Marion,Florida,29.2102,-82.0567,68682.240919702,Crystal River Energy Complex
Brazoria,Texas,29.1897,-95.4521,36466.456538808554,Parish Generating Station
Bell,Texas,31.0373,-97.4788,69444.54991859088,Sandy Creek Plant
Hamilton,Tennessee,35.1808,-85.1648,98831.89665661142,Kingston Fossil Plant
Anoka,Minnesota,45.2733,-93.2465,45491.31688748658,Allen S. King Generating Plant
Chesterfield,Virginia,37.3785,-77.587,18155.598095120353,Chesterfield power station
Davis,Utah,40.99,-112.1115,152783.43150315137,Naughton Power Plant
Westmoreland,Pennsylvania,40.3109,-79.4668,32070.459709205723,Homer City Generating Station
Larimer,Colorado,40.6664,-105.4612,42509.03075240241,Rawhide Energy Station
Nueces,Texas,27.7254,-97.6134,116229.06119157007,Coleto Creek power station
Douglas,Colorado,39.3297,-104.9296,79647.918086725593,Ray Nixon Power Plant
Galveston,Texas,29.3945,-94.9635,65783.14927695318,Parish Generating Station
Horry,South Carolina,33.9214,-78.9966,73704.860335909485,Winyah Generating Station
Marion,Oregon,44.9033,-122.5845,207002.59373015672,Centralia Power Plant
Somerset,New Jersey,40.5635,-74.6163,74345.25549840018,Northampton Generating Plant
Hamilton,Indiana,40.0725,-86.052,103319.36809396396,Whitewater Valley Generating Station
Rockland,New York,41.1525,-74.0242,132759.59815383298,Northampton Generating Plant
Rutherford,Tennessee,35.8427,-86.4168,52467.76659657429,Gallatin Fossil Plant
Cumberland,North Carolina,35.0487,-78.8277,160790.32305337768,Roxboro Steam Plant
Henrico,Virginia,37.538,-77.4058,17308.273335507496,Chesterfield power station
Howard,Maryland,39.2507,-76.9312,34998.03666177083,Brandon Shores Generating Station
Boulder,Colorado,40.0925,-105.3577,89727.49959620449,Rawhide Energy Station
Luzerne,Pennsylvania,41.177,-75.9892,42315.04250284609,St. Nicholas Cogeneration Plant
St. Lucie,Florida,27.3773,-80.472,140344.8812413101,Stanton Energy Center
Spartanburg,South Carolina,34.9309,-81.9908,37906.883212983616,James E. Rogers Energy Complex
Weld,Colorado,40.5548,-104.3925,63428.69564251893,Rawhide Energy Station
Fayette,Kentucky,38.0423,-84.4587,36010.52103541027,E.W. Brown Generating Station
Lancaster,Nebraska,40.7842,-96.6878,26267.231664560488,Sheldon Station
Durham,North Carolina,36.036,-78.8766,52737.75916227553,Roxboro Steam Plant
Escambia,Florida,30.669,-87.363,72227.31829102847,Barry Steam Plant
Albany,New York,42.6002,-73.9736,213401.04601532774,Merrimack Station
Rockingham,New Hampshire,42.9875,-71.1254,30340.11472311162,Schiller Station
Lorain,Ohio,41.2957,-82.151,119466.3620182895,Monroe Power Plant
Northampton,Pennsylvania,40.7542,-75.3076,16020.048392700792,Northampton Generating Plant
McHenry,Illinois,42.3244,-88.4523,77244.58786295513,South Oak Creek Plant
Lubbock,Texas,33.6102,-101.8205,94146.92563918869,Tolk Station
St. Louis,Missouri,38.6359,-90.2451,27135.191404316403,Meramec Power Plant
Gloucester,New Jersey,39.7173,-75.1414,111973.10901802334,Northampton Generating Plant
Cumberland,Maine,43.8465,-70.399,88934.76595929939,Schiller Station
Greene,Missouri,37.258,-93.342,12620.964560086153,John Twitty Energy Center
Dutchess,New York,41.7652,-73.7429,188104.97343673604,Northampton Generating Plant
Chatham,Georgia,32.0043,-81.1329,151170.42771899386,Cope Station
Clayton,Georgia,33.5419,-84.3577,64464.8112777416,Wansley Plant
Ottawa,Michigan,42.9598,-85.9961,17586.10984020319,Campbell Generating Plant
Anchorage,Alaska,61.1508,-149.1091,2323572.634939121,Centralia Power Plant
Cleveland,Oklahoma,35.2031,-97.3265,141037.87700393627,Sooner Generating Station
Lexington,South Carolina,33.9023,-81.2722,60772.37752560873,Wateree Station
Leon,Florida,30.458,-84.2779,197932.13785644312,Deerhaven Generating Station
Thurston,Washington,46.9258,-122.8332,18973.27516859042,Centralia Power Plant
Ingham,Michigan,42.5971,-84.3735,25522.136702305826,Erickson Station
Winnebago,Illinois,42.3363,-89.1609,103949.82783527234,Archer Daniels Midland Clinton Power Plant
Dauphin,Pennsylvania,40.4154,-76.7795,36224.04674367521,Brunner Island power station
San Luis Obispo,California,35.3871,-120.4044,673116.5423520594,North Valmy Station
Merced,California,37.1919,-120.7177,512819.37151903345,North Valmy Station
Benton,Arkansas,36.3387,-94.2561,25743.24555870051,Flint Creek Power Plant
York,South Carolina,34.9748,-81.1845,28802.52997131369,G.G. Allen Steam Plant
Alachua,Florida,29.6747,-82.3577,9810.685336141612,Deerhaven Generating Station
Atlantic,New Jersey,39.4777,-74.661,110786.05034004679,Indian River power station
Kitsap,Washington,47.613,-122.6716,96317.74441816236,Centralia Power Plant
Santa Cruz,California,37.0562,-122.0018,597295.9519404026,North Valmy Station
St. Joseph,Indiana,41.6167,-86.2899,52899.736753901576,Michigan City Generating Station
Erie,Pennsylvania,41.9925,-80.0327,158855.67616101127,Keystone Generating Station
New London,Connecticut,41.4867,-72.1014,191053.51935776504,Merrimack Station
Frederick,Maryland,39.4722,-77.398,81079.8856233111,Brandon Shores Generating Station
Brown,Wisconsin,44.4525,-88.0037,85223.16012171931,Edgewater Generating Station
Buncombe,North Carolina,35.6112,-82.5301,82345.1369017406,James E. Rogers Energy Complex
Webb,Texas,27.7611,-99.3315,133996.5823334528,San Miguel Electric Cooperative
Madison,Illinois,38.8297,-89.9049,34601.134079777556,Sioux Power Plant
St. Johns,Florida,29.9016,-81.4407,26248.83044827043,Seminole Generating Station
Washington,Minnesota,45.0388,-92.8838,8306.053450686164,Allen S. King Generating Plant
St. Tammany,Louisiana,30.4102,-89.9583,135234.0699551669,Daniel Generating Plant
Marin,California,38.0735,-122.7235,571643.3627217297,North Valmy Station
Cherokee,Georgia,34.244,-84.4763,43010.43634838594,Plant Bowen
Kalamazoo,Michigan,42.2455,-85.5312,87373.06476383751,Erickson Station
Weber,Utah,41.2698,-111.9134,122578.27430268575,Naughton Power Plant
Harford,Maryland,39.5611,-76.3171,46145.098456137326,Herbert Wagner Generating Station
St. Clair,Illinois,38.4703,-89.9284,30172.99890303912,Baldwin Energy Station
McLennan,Texas,31.5524,-97.2018,24752.792339479438,Sandy Creek Plant
Cumberland,Pennsylvania,40.1636,-77.2655,49100.07718128503,Brunner Island power station
Jefferson,Texas,29.8841,-94.1629,95230.54688105872,Roy S. Nelson Generating Plant
Yakima,Washington,46.4571,-120.7385,165678.89589431178,Centralia Power Plant
Clay,Missouri,39.3105,-94.4209,20559.026005224547,Hawthorn Station
Chesapeake,Virginia,36.6778,-76.3024,123922.35582032765,Chesterfield power station
Forsyth,Georgia,34.2255,-84.1251,74179.33473323358,Plant Bowen
Washington,Arkansas,35.9791,-94.2156,41413.07984311444,Flint Creek Power Plant
Williamson,Tennessee,35.8938,-86.8987,64794.32092728982,Gallatin Fossil Plant
Lafayette,Louisiana,30.2068,-92.0639,88221.08203088147,Big Cajun II Power Plant
Caddo,Louisiana,32.5806,-93.8823,58140.89649414511,Pirkey Power Plant
Warren,Ohio,39.4277,-84.1668,65063.843191746346,Miami Fort Station
Norfolk,Virginia,36.8945,-76.259,113571.58141650438,Chesterfield power station
Henry,Georgia,33.453,-84.1542,54260.71152557225,Scherer Steam Generating Station
Arlington,Virginia,38.8786,-77.1011,59244.502911512194,Brandon Shores Generating Station
Union,North Carolina,34.9884,-80.5307,48975.79242277854,G.G. Allen Steam Plant
Saratoga,New York,43.1074,-73.8639,195038.95777639258,Merrimack Station
Hays,Texas,30.0579,-98.0312,87737.2316860711,J. K. Spruce Station
Sussex,Delaware,38.6606,-75.39,16001.127622584328,Indian River power station
Yavapai,Arizona,34.5998,-112.5538,209719.11854592687,Cholla Generating Station
Lake,Ohio,41.6963,-81.2373,139227.6592353951,Sammis Plant
Oneida,New York,43.2418,-75.4358,261805.92609451147,Montour Steam Station
Smith,Texas,32.375,-95.2692,67022.10895388646,Martin Lake Steam Station
Brazos,Texas,30.6608,-96.3024,60395.035416376784,Oak Grove Plant
Hinds,Mississippi,32.2667,-90.4428,168171.86093687062,Red Hills Generation Facility
Montgomery,Alabama,32.2203,-86.2076,115855.77898341122,Gaston Steam Plant
Mahoning,Ohio,41.0146,-80.7763,55264.967216138604,Sammis Plant
Linn,Iowa,42.079,-91.599,15387.320417074803,Prairie Creek Generating Station
Barnstable,Massachusetts,41.7244,-70.2904,157769.94613440242,Schiller Station
Canyon,Idaho,43.6251,-116.7093,306911.23111315235,North Valmy Station
Baldwin,Alabama,30.7276,-87.7226,41296.383940089334,Barry Steam Plant
Gaston,North Carolina,35.2944,-81.1803,19453.364167759464,G.G. Allen Steam Plant
Jefferson,Missouri,38.2611,-90.5377,23592.782348524797,Meramec Power Plant
Richmond,Virginia,37.5295,-77.4756,18223.645171320153,Chesterfield power station
New Hanover,North Carolina,34.2328,-77.8847,169265.66746558942,Winyah Generating Station
Berkeley,South Carolina,33.1973,-79.9522,20327.786882031727,Williams Station
Whatcom,Washington,48.8259,-121.7199,245414.10042055947,Centralia Power Plant
Tuscaloosa,Alabama,33.2896,-87.5251,57646.985586407696,Miller Steam Plant
Jackson,Oregon,42.4322,-122.7285,480577.48568842385,Centralia Power Plant
Cabarrus,North Carolina,35.3868,-80.5519,43909.27191917939,Marshall Steam Station
Shelby,Alabama,33.2643,-86.6607,18946.901718062716,Gaston Steam Plant
Doña Ana,New Mexico,32.3526,-106.8328,290458.80129698804,Apache Generating Station
Butte,California,39.6669,-121.6007,401614.1256328178,North Valmy Station
Yolo,California,38.6866,-121.9016,474150.0817043378,North Valmy Station
Clay,Florida,29.9831,-81.8579,35183.99999041126,Seminole Generating Station
Montgomery,Tennessee,36.4969,-87.3828,26866.358851071243,Cumberland Steam Plant
Lackawanna,Pennsylvania,41.4367,-75.6092,83055.5687038773,St. Nicholas Cogeneration Plant
Niagara,New York,43.2001,-78.7452,286361.45211078046,Keystone Generating Station
Calcasieu,Louisiana,30.2293,-93.3581,9038.119728500315,Roy S. Nelson Generating Plant
Johnston,North Carolina,35.5178,-78.3657,121690.99623170943,Mayo Generating Plant
Mohave,Arizona,35.7041,-113.7579,325567.1973358202,Cholla Generating Station
Delaware,Ohio,40.2784,-83.0049,167540.23334721377,Gavin Power Plant
York,Maine,43.4782,-70.7144,42751.973995288194,Schiller Station
Okaloosa,Florida,30.6913,-86.5917,139979.8283433271,Barry Steam Plant
Washington,Pennsylvania,40.1894,-80.2483,34647.02536792692,Cardinal Plant
Clermont,Ohio,39.0476,-84.1517,48274.84941482655,Spurlock power station
Harrison,Mississippi,30.5122,-89.1161,53697.84504596894,Daniel Generating Plant
Champaign,Illinois,40.1401,-88.1992,66244.7613532713,Archer Daniels Midland Decatur Power Plant
Elkhart,Indiana,41.5974,-85.8587,88600.230259973,Michigan City Generating Station
Richmond,Georgia,33.3596,-82.0736,96933.97156834704,Cope Station
Benton,Washington,46.2398,-119.5112,263166.0998219789,Centralia Power Plant
Muscogee,Georgia,32.51,-84.8771,101185.69197609162,Wansley Plant
Yuma,Arizona,32.7695,-113.9056,385331.3471172849,Apache Generating Station
Anderson,South Carolina,34.5193,-82.6378,111294.76979815101,James E. Rogers Energy Complex
Trumbull,Ohio,41.3172,-80.7611,88185.1572562962,Sammis Plant
Hall,Georgia,34.3169,-83.8197,103640.79587458028,Plant Bowen
Onslow,North Carolina,34.7321,-77.4321,236272.82007908708,Winyah Generating Station
Hawaii,Hawaii,19.5985,-155.5185,329572.62334339926,AES Hawaii Generation Plant
St. Louis,Minnesota,47.6031,-92.4707,96914.67698465881,Boswell Energy Center
Broome,New York,42.1602,-75.8196,140153.65644940696,Montour Steam Station
Racine,Wisconsin,42.7475,-88.0613,21860.369983556284,South Oak Creek Plant
Sangamon,Illinois,39.7582,-89.6589,4797.376160319821,Dallman Station
Deschutes,Oregon,43.915,-121.2281,340561.0797502443,Centralia Power Plant
Minnehaha,South Dakota,43.6742,-96.7915,153481.01247732306,George Neal Station North
Livingston,Michigan,42.6029,-83.9115,61916.60975449524,Erickson Station
Sumner,Tennessee,36.4694,-86.4604,17909.196347484096,Gallatin Fossil Plant
Butler,Pennsylvania,40.912,-79.9133,55801.38166645881,Keystone Generating Station
Hernando,Florida,28.5535,-82.4245,52223.63098224056,Crystal River Energy Complex
El Dorado,California,38.7787,-120.5247,371255.4177562978,North Valmy Station
Saginaw,Michigan,43.335,-84.0532,38067.387622279486,Karn Generating Plant
Outagamie,Wisconsin,44.4161,-88.4649,98722.63544388003,Edgewater Generating Station
Sarpy,Nebraska,41.1129,-96.112,24246.35221736244,Walter Scott Jr. Energy Center
Ellis,Texas,32.3484,-96.7947,98054.82868892147,Sandy Creek Plant
